方块ID,方块名称,预制文件名,英文名称,插件用名称[必填/不能有空格],繁体名称,海外开放（0和空为在国内海外都开放，1为只在国内开放，2为只在海外开放）,类别,插件编辑[大于0开放插件编辑，1=综合，2=彩色，3=建筑],触发器开放[1=植物方块 2=液体方块 3=自然方块 4=装饰方块 5=功能方块],地形编辑器开放[1=植物方块 2=液体方块 3=自然方块 4=装饰方块 5=功能方块],成长后替换的模型ID,插件编辑模板[0=不是模板，1=作为模板],变换颜色,鼠标点击碰撞,移动碰撞[0=空气， 1=固体， 2= 液体， 3=不阻挡投射物，4=空气挡子弹，5=不阻挡物理],阻挡水流（0=不阻挡，1=阻挡，2=被流沙同化，3=覆盖阻挡）,"推动标识-0:普通推动后续方块, 1:推动碾碎, 2:不能推动",重力影响方式0:不影响， 1: 沙子会下坠， 2: 流体会往低处流， 3：花草会破坏,PlaceDir(0：没有方向，1：和放置的面相关，类似火把，  2：和自己视线的方向相关，类似楼梯),放置可直接替换,植物标识（填了1就视为是植物方块）,生长时间（生长阶段数|阶段生成时间）,覆雪标识[默认0=不覆雪 1=覆雪],爆炸抗性,硬度,地滑程度,燃烧速度,点燃概率,毒液侵蚀速度,充能状态,掉落物1,掉落概率1,掉落物2,掉落概率2,空手掉落物,空手掉落概率,采集掉落经验,掉落经验概率,掉落的星星数量（数组，两个值随机）,"遮挡旁边块0: 不遮挡， 1: 遮挡， 2： 根据厚度来定,  3: 遮挡相同材质",光衰减,光源强度,使用旁边方块的光照,高度（block),贴图1,贴图2/模型类这里填模型名称,prefab资源（用到prefab资源的方块填此字段）,走在上面声音,挖的声音,放置的声音,精准掉落物品,采集工具/1=斧头，2=镐，3=铲子，5=剪刀,工具等级（1=石，2=铜，3=铁，4=铝，5=钛，6=钴，7=钨）,随机颜色【地形生成树的时候会从三个颜色里等概率随机一个，以012的形式存于blockdata】,小地图颜色,分数,特殊数据1,可被投掷物击碎,特效名字,蓝图方块分类[多类相加，1=不能复制 2=不消耗 4=有方向的方块 8=随机数 16=多方向 32=不能替换],所需材料替换方块[蓝图],物理碰撞（0-无碰撞，1-满1格碰撞，2-不满一格的碰撞，3-门那种， 6-会根据方块data改变形状）,微缩透明度(0全透 15不透明),微缩发光度(0最亮 15不发光),温度源强度（用于计算温度源的热传导）,温度衰减（用于计算温度源的传热衰减）,植物生长温度区间（1=冻结，2=极寒，3=寒冷，4=适宜，5=炎热，6=极热，7=自燃；不在适宜温度区间则会降低生长速度，仅对cropper，flowergrow，melonstem，shrub这几个type生效；0或不填则不开启）,"多格方块类型(0非多格,1多格例如床钢琴箱子等)",韧度值,LOD等级(默认为0，0=强制显示),是否产生阴影(默认为1),是否按屏幕空间大小的方式裁剪(默认是1),破坏中的掉落粒子使用的特效文件，填文件名称，默认填空为使用通用粒子；文件地址：CommonResource\Assets\Resources\minigame\prefab\particles,破坏后的掉落粒子使用的特效文件，填文件名称，默认填空为使用通用粒子；文件地址：CommonResource\Assets\Resources\minigame\prefab\particles,挖掘附属特效（例如石头-火花）,可否被变向（0没有方向无法变向，1四向，2六、八向，3特殊处理）,自发光颜色,不透明度(0-255),"方块结构标识-0:可被推动、转动, 1:推动、转动碾碎, 2:不能推动、转动",里世界交互标识（0不可被交互，1可被交互）,PBR功能贴图,蓝图方块价值,替换绘制类型（BlockDrawType）,是否可活化,HDR自发光强度系数
116,萌眼星石块,,HorasRock,HorasRock,,,basic,1,3,3,,,,1,1,1,0,0,0,,,,1,500,15,1,0,,0,,116,10000,0,0,116,10000,,,,1,15,0,,1,cosmic_rock_block,,,blocks.stone,blockd.stone,,116,2,1,,C0C0C0,,,,,,,1,15,15,,6,,,3,,,,,,,0,,255,0,1,,0.2,,1,
117,萌眼星草块,,Horasgrass,Horasgrass,,,grass,1,3,3,,1,,1,1,1,0,0,0,,,,1,10,5,1,0,,0,,117,10000,0,0,117,10000,,,,1,15,0,,1,cosmicgrass,,,blocks.grass,blockd.grass,,117,3,1,,b665e5,,,,,,,1,15,15,,6,,,,,,,,,,0,,255,0,1,,0.2,,1,
118,萌眼星云团,,Horascloud,Horascloud,,,aliencloud,1,3,3,,,,1,1,1,0,0,0,1,,,1,10,0,1,0,,0,,0,0,0,0,0,0,,,,0,15,0,,1,cosmiccloud,,,blocks.snow,blockd.snow,,118,0,1,,F8F8FF,,,,,,,1,15,15,,6,,,,,,,,,,0,,255,0,1,,0.2,,,
119,旱土,,Drysoil,Drysoil,,,basic,1,3,3,,,,1,1,1,0,0,0,,,,1,10,5,1,0,,0,,101,10000,0,0,0,0,,,,1,15,0,,1,drysoil,,,blocks.stone,blockd.stone,,119,2,1,,DAA520,,,,,,,1,15,15,,6,,,1,,,,,,,0,,255,0,1,,0.2,,1,
120,冻土,,FreezeSoil,FreezeSoil,,,soil,1,3,3,,1,,1,1,1,0,0,0,,,,1,10,5,1,0,,0,,120,10000,0,0,120,10000,,,,1,15,0,,1,freezesoil,,,blocks.gravel,blockd.gravel,,120,3,1,,5E789A,,,,,,,1,15,15,,6,,,,,,,,,,0,,255,0,1,,0.2,,1,
121,冻土坑,,FreezePit,FreezePit,,,buryland,1,3,3,,,,1,1,1,0,0,0,,,,,10,5,1,0,,0,,120,10000,0,0,120,10000,,,,2,15,0,,1,freezeburyland,freezesoil,,blocks.grass,blockd.grass,,120,3,1,,6c5a1a,,,,,,120,1,15,15,,6,,,,,,,,,,0,,255,0,1,,0,,1,
122,厚实的雪,,SnowBlock,SnowBlock,,,snowdrift,1,3,3,,1,,1,1,1,0,0,0,,,,1,3,1.5,1,0,,0,,122,10000,0,0,0,0,,,,2,2,0,,1,snow,,,blocks.snow,blockd.snow,,122,3,1,,d4f4f5,,,,,,,1,15,15,-3,6,,,,,,,,,,0,,34,0,1,,0.2,,1,
123,自然冰,,Ice,Ice,,,ice,1,3,3,,1,,1,1,1,0,0,0,,,,1,10,5,1.6,0,,0,,123,10000,0,0,0,0,,,,2,3,0,,1,ice,,,blocks.stone,blockd.stone,,123,2,1,,5bc0ee,,,,,,,1,15,15,-3,6,,,1,,,,,,,0,,51,0,1,,0.2,,1,
124,硫黄岩,,SulphurRock,SulphurRock,,,sulphurrock,1,3,3,,1,,1,1,1,0,0,0,,,,1,25,5,1,0,,0,,124,10000,0,0,124,10000,,,,2,15,0,,1,sulfur_stone,,,blocks.stone,blockd.stone,,124,2,1,,4f251e,,,,,,,1,15,15,,6,,,1,,,,,,,0,,255,0,1,,0.2,,,2
125,灼沙,,HotSand,HotSand,,,basic,1,3,3,,,,1,1,1,0,0,0,,,,1,7,3,1.6,0,,0,,125,10000,0,0,125,10000,,,,2,15,4,,1,flame_sand,,,blocks.sand,blockd.sand,,125,3,1,,773d3f,,,,,,,1,15,15,,6,,,,,,,,,,0,e9bf3f,255,0,1,,0.5,,1,2
126,魔古岩,,MoguRock,MoguRock,,,basic,1,4,4,,,,1,1,1,0,0,2,,,,1,500,15,1,0,,0,,126,10000,0,0,126,10000,,,,2,15,0,,1,mogu_stone,,,blocks.stone,blockd.stone,,126,2,5,,413250,,,,,,,1,15,15,,6,,,10,,,,,,,0,,255,0,1,,1,,1,2
127,泡沫块,,Sponge,Sponge,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,1,10,4,1,0,,0,,127,10000,0,0,127,10000,,,,2,15,0,,1,sponge,,,blocks.cloth,blockd.cloth,,127,0,1,,dab15c,,,,,,,1,15,15,,6,,,,,,,,,,0,,255,0,1,,0.5,,1,
128,红沙,,Redsand,Redsand,,,solidsand,1,4,4,,,,1,1,1,0,1,0,,,,1,7,3,1,0,,0,,128,10000,0,0,128,10000,,,,1,15,0,,1,red_sand,,,blocks.sand,blockd.sand,,128,3,1,,86362d,,,,,,,1,15,15,,6,,,,,,,,,,0,,255,0,1,,0.5,,1,
129,厚实的雪,,ThickSnow,ThickSnow,,,snowobj,,,,,,,1,0,0,0,3,0,1,,,1,3,1.5,1,0,,0,,129,160000,0,0,0,0,,,,2,2,0,,1,snow_m,snow,,blocks.snow,blockd.snow,,122,3,1,,d4f4f5,,,,,,,0,15,15,,6,,,,,,,,,,0,,34,0,1,,0.2,,,
130,厚实的雪堆,,ThickSnowBlock,ThickSnowBlock,,,basic,,,,,,,1,1,1,0,0,0,,,,1,3,1.5,1,0,,0,,129,160000,0,0,0,0,,,,2,2,0,,1,snow,,,blocks.snow,blockd.snow,,122,3,1,,d4f4f5,,,,,,,1,15,15,,6,,,,,,,,,,0,,34,0,1,,0.2,,1,
131,坚固的冰,,HardIce,HardIce,,,basic,,,,,,,1,1,1,2,0,0,,,,1,-1,-1,1,0,,0,,0,0,0,0,0,3,,,,1,15,4,,1,eternal_ice,,,blocks.stone,blockd.stone,,0,0,,,5bc0ee,,,,,,,1,15,15,,6,,,,,,,,,,0,c6d6dc,255,0,1,,0.2,,,2
132,硫黄晶砂,,SulfurCrystalSand,SulfurCrystalSand,,,crystalemitter,1,4,4,,,,1,1,1,2,0,2,,,,1,100,30,1,0,,0,,132,10000,0,0,0,0,,,,1,15,15,,1,hotcrystal,,,blocks.sand,blocks.sand,,132,3,7,,4f251e,,,,,4,,1,15,0,8,6,,,,,,,,,,2,e9bf3f,255,0,1,,4,,1,2
133,空的蜂巢,,EmptyHoneycomb,EmptyHoneycomb,,,hiveempty,1,4,4,23418,,,1,1,1,0,0,0,,,,1,10,4,1,0,,0,,12504,10000,0,0,12504,10000,,,,2,15,0,,1,hive_empty,,,blocks.cloth,blockd.cloth,,133,1,1,,dab15c,,,1,bee.ent,,,1,15,15,,1,,,2,,,,,,,0,,255,0,1,,0.5,,1,
134,满的蜂巢,,FullHoneycomb,FullHoneycomb,,,hivefull,1,4,4,43418,,,1,1,1,0,0,0,,,,1,10,4,1,0,,0,,12504,10000,12504,10000,12504,10000,,,,2,15,0,,1,hive_full,,,blocks.cloth,blockd.cloth,,134,1,1,,dab15c,,,1,,,,1,15,15,,1,,,2,,,,,,,0,,255,0,1,,0.5,,1,
135,神秘图腾-大地,,Horastotem-Earth,Horastotem-Earth,,,basic_model,1,4,,,,,1,1,1,2,0,0,,,,,500,50,1,0,,0,,135,10000,0,0,135,10000,,,,1,1,10,,1,alientotem1,alientotem1,,blockd.wood,blockd.wood,,135,2,1,,C0C0C0,,,,,4,,1,15,15,,6,,,20,,,,,,,1,6e8888,17,2,1,,1,26,1,
136,神秘图腾-天空,,Horastotem-Sky,Horastotem-Sky,,,basic_model,1,4,,,,,1,1,1,2,0,0,,,,,500,50,1,0,,0,,136,10000,0,0,136,10000,,,,1,1,10,,1,alientotem2,alientotem2,,blockd.wood,blockd.wood,,136,2,1,,C0C0C0,,,,,4,,1,15,15,,6,,,20,,,,,,,1,6e8888,17,2,1,,1,26,1,
137,萌眼星土坑,,Horaspit,Horaspit,,,cosmicburyland,1,4,4,,,,1,1,1,0,0,0,,,,,7,3.5,1,0,,0,,117,10000,0,0,117,10000,,,,2,15,0,,1,cosmicburyland,cosmic_rock_block,,blocks.grass,blockd.grass,,117,3,1,,6c5a1a,,,,,,117,1,15,15,,6,,,,,,,,,,0,,255,0,1,,0,,1,
138,污染方块,,ToxicBlock,ToxicBlock,,,pollution,1,4,4,,,,1,1,1,2,0,0,,,,,-1,-1,1.6,0,,0,,1,10000,0,0,0,0,,,,1,15,0,,1,battlegroundblock,,,blocks.stone,blockd.stone,,0,0,,,3d3c59,,,,,33,,1,15,15,,6,,,,,,,,,,0,,255,2,0,,0,,,
139,BOSS战使用方块,,BossFightUtilityBlock,BossFightUtilityBlock,,,giantbattletotem,,,,,,,1,1,1,2,0,0,,,,,500,50,1,0,,0,,0,10000,0,0,0,0,,,,1,1,10,,1,alientotem1,alientotem1,,blockd.wood,blockd.wood,,0,2,1,,C0C0C0,,,,,33,,1,15,15,,6,,,20,,,,,,,0,,17,2,0,,0,26,,
140,生命石座,,LifeStone,LifeStone,,,keypedestal,1,3,,,,,1,1,1,2,0,1,,,,,50,25,1,0,,0,,143,10000,0,0,143,10000,,,,2,15,0,1,1,volcanoaltar_earth_on,volcanoaltar,,blocks.stone,blockd.stone,,143,2,1,,6B5152,,,,,33,,1,,15,,6,,,20,,,,,,,1,,255,2,0,volcanoaltar_mix,0,26,,2
141,勇气石座,,CourageStone,CourageStone,,,keypedestal,1,3,,,,,1,1,1,2,0,1,,,,,50,25,1,0,,0,,143,10000,0,0,143,10000,,,,2,15,0,1,1,volcanoaltar_flame_on,volcanoaltar,,blocks.stone,blockd.stone,,143,2,1,,6B5152,,,,,33,,1,,15,,6,,,20,,,,,,,1,,255,2,0,volcanoaltar_mix,0,26,,2
142,智慧石座,,WisdomStone,WisdomStone,,,keypedestal,1,3,,,,,1,1,1,2,0,1,,,,,50,25,1,0,,0,,143,10000,0,0,143,10000,,,,2,15,0,1,1,volcanoaltar_horas_on,volcanoaltar,,blocks.stone,blockd.stone,,143,2,1,,6B5152,,,,,33,,1,,15,,6,,,20,,,,,,,1,,255,2,0,volcanoaltar_mix,0,26,,2
143,破损石座,,BrokenAltar,BrokenAltar,,,keypedestal,1,3,,,,,1,1,1,2,0,1,,,,,50,25,1,0,,0,,143,10000,0,0,143,10000,,,,2,15,0,1,1,volcanoaltar_damaged,volcanoaltar,,blocks.stone,blockd.stone,,143,2,1,,6B5152,,,,,33,,1,,15,,6,,,20,,,,,,,1,,255,2,0,volcanoaltar_mix,0,,,
144,红薇蝶玻璃瓶,,CrimsonButterflyBottle,CrimsonButterflyBottle,,,glassbottle,1,4,,3885,,,1,1,1,0,0,0,,,,,3,0,1,0,,0,,0,0,0,0,0,0,,,,2,1,8,,1,glassjar,glassjar,,blocks.stone,blockd.glass,blockd.stone,144,2,1,,ffffff,1,,1,item_749.ent,,,0,8,0,,1,,,1,3,,,,,,0,,17,0,1,,0.2,,,2
145,兰青蝶玻璃瓶,,CyanButterflyBottle,CyanButterflyBottle,,,glassbottle,1,4,,3886,,,1,1,1,0,0,0,,,,,3,0,1,0,,0,,0,0,0,0,0,0,,,,2,1,8,,1,glassjar,glassjar,,blocks.stone,blockd.glass,blockd.stone,145,2,1,,ffffff,1,,1,item_749.ent,,,0,8,0,,1,,,1,3,,,,,,0,,17,0,1,,0.2,,,2
146,香粉蝶玻璃瓶,,FragrantButterflyBottle,FragrantButterflyBottle,,,glassbottle,1,4,,3887,,,1,1,1,0,0,0,,,,,3,0,1,0,,0,,0,0,0,0,0,0,,,,2,1,8,,1,glassjar,glassjar,,blocks.stone,blockd.glass,blockd.stone,146,2,1,,ffffff,1,,1,item_749.ent,,,0,8,0,,1,,,1,3,,,,,,0,,17,0,1,,0.2,,,2
147,白香蝶玻璃瓶,,SunButterflyBottle,SunButterflyBottle,,,glassbottle,1,4,,3888,,,1,1,1,0,0,0,,,,,3,0,1,0,,0,,0,0,0,0,0,0,,,,2,1,8,,1,glassjar,glassjar,,blocks.stone,blockd.glass,blockd.stone,147,2,1,,ffffff,1,,1,item_749.ent,,,0,8,0,,1,,,1,3,,,,,,0,,17,0,1,,0.2,,,2
148,龙信蝶玻璃瓶,,DragonkinButterflyBottle,DragonkinButterflyBottle,,,glassbottle,1,4,,3889,,,1,1,1,0,0,0,,,,,3,0,1,0,,0,,0,0,0,0,0,0,,,,2,1,8,,1,glassjar,glassjar,,blocks.stone,blockd.glass,blockd.stone,148,2,1,,ffffff,1,,1,item_749.ent,,,0,8,0,,1,,,1,3,,,,,,0,,17,0,1,,0.2,,,2
149,舌钟蝶玻璃瓶,,ShezhongButterflyBottle,ShezhongButterflyBottle,,,glassbottle,1,4,,3890,,,1,1,1,0,0,0,,,,,3,0,1,0,,0,,0,0,0,0,0,0,,,,2,1,8,,1,glassjar,glassjar,,blocks.stone,blockd.glass,blockd.stone,149,2,1,,ffffff,1,,1,item_749.ent,,,0,8,0,,1,,,1,3,,,,,,0,,17,0,1,,0.2,,,2
150,红土耕地,,RedArableland,RedArableland,,,farmland,1,3,3,,,,1,1,1,0,0,0,,,,,7,3.5,1,0,,0,,233,10000,0,0,233,10000,,,,2,15,0,,1,redarableland,redsoil_top,,blocks.grass,blockd.grass,,150,3,1,,e16137,,,,,,233,1,15,15,,6,,,,,,,,,,0,,255,0,1,,0,,1,
151,红土土坑,,RedBuryland,RedBuryland,,,buryland,1,3,3,,,,1,1,1,0,0,0,,,,,7,3.5,1,0,,0,,233,10000,0,0,233,10000,,,,2,15,0,,1,redburyland,redsoil_top,,blocks.grass,blockd.grass,,151,3,1,,e16137,,,,,,233,1,15,15,,6,,,,,,,,,,0,,255,0,1,,0,,1,
152,星球岩竖薄板,,HorasRockUprightLamina,HorasRockUprightLamina,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,500,15,1,0,,0,,152,10000,0,0,152,10000,,,,2,15,0,,1,Planetstonebrick,,,blocks.stone,blocks.stone,blocks.stone,152,2,1,,C0C0C0,,,,,4,,2,15,15,,1,,,10,,,,,,,1,,255,0,1,,0.2,,,
153,竹板竖薄板,,BambooUprightLamina,BambooUprightLamina,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,25,6,1,2,20,2,,153,10000,0,0,153,10000,,,,2,15,0,,1,planks_bamboo,,,blocks.wood,blockd.wood,blockd.wood,153,1,1,,c1a661,,,,,4,,2,15,15,,1,,,1,,,,,,,1,,255,0,1,,0.2,,,
154,胭脂红竖薄板,,CarmineUprightLamina,CarmineUprightLamina,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,25,6,1,2,100,2,,154,10000,0,0,154,10000,,,,2,15,0,,1,planks_peachblossom,,,blocks.wood,blockd.wood,blockd.wood,154,1,1,,7c6037,,,,,4,,2,15,15,,1,,,1,,,,,,,1,,255,0,1,,0.2,,,
155,水泥砖竖薄板,,CementBrickUprightLamina,CementBrickUprightLamina,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,70,12,1,0,,0,,155,10000,0,0,155,10000,,,,2,15,0,,1,brick,,,blocks.stone,blockd.stone,blockd.stone,155,2,1,,8d5845,,,,,4,,2,15,15,,1,,,10,,,,,,,1,,255,0,1,,0.2,,,
156,硫黄砖竖薄板,,SulfurBrickUprightLamina,SulfurBrickUprightLamina,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,40,12,1,0,,0,,156,10000,0,0,156,10000,,,,2,15,0,,1,sulfur_brick,,,blocks.stone,blockd.stone,blockd.stone,156,2,1,,8e452a,,,,,4,,2,15,15,,1,,,10,,,,,,,1,,255,0,1,,0.2,,,
157,石质竖薄板,,StoneUprightLamina,StoneUprightLamina,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,50,12,1,0,,0,,157,10000,0,0,157,10000,,,,2,15,0,,1,rock,,,blocks.stone,blockd.stone,blockd.stone,157,2,1,,939188,,,,,4,,2,15,15,,1,,,10,,,,,,,1,,255,0,1,,0.2,,,
158,精制石竖薄板,,FineBrickUprightLamina,FineBrickUprightLamina,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,75,12,1,0,,0,,158,10000,0,0,158,10000,,,,2,15,0,,1,stonebrick,,,blocks.stone,blockd.stone,blockd.stone,158,2,1,,84887e,,,,,4,,2,15,15,,1,,,10,,,,,,,1,,255,0,1,,0.2,,,
159,钛合金竖薄板,,TitaniumUprightLamina,TitaniumUprightLamina,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,200,60,1,0,,0,,159,10000,0,0,159,10000,,,,1,15,0,,1,titanium_block,,,blocks.stone,blockd.stone,blockd.stone,159,2,1,,81c9fb,,,,,4,,2,15,15,,1,,,20,,,,,,,1,,255,0,1,,3,26,,
160,黄铜竖薄板,,BrassUprightLamina,BrassUprightLamina,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,200,40,1,0,,0,,160,10000,0,0,160,10000,,,,1,15,0,,1,brass_block,,,blocks.stone,blockd.stone,blockd.stone,160,2,1,,81c9fb,,,,,4,,2,15,15,,1,,,10,,,,,,,1,,255,0,1,,1,26,,
161,云母竖薄板,,MicaUprightLamina,MicaUprightLamina,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,40,16,1,0,,0,,161,10000,0,0,161,10000,,,,1,15,0,,1,silica_block,,,blocks.stone,blockd.stone,blockd.stone,161,2,1,,b7bcb7,,,,,4,,2,15,15,,1,,,10,,,,,,,1,,255,0,1,,0.2,,,
162,铁制竖薄板,,MithrilUprightLamina,MithrilUprightLamina,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,50,12,1,0,,0,,162,10000,0,0,162,10000,,,,2,15,0,,1,mithsilver_block,,,blocks.stone,blockd.stone,blockd.stone,162,2,1,,5d605d,,,,,4,,2,15,15,,1,,,10,,,,,,,1,,255,0,1,,1.5,26,,
163,炽炎竖薄板,,FlamoUprightLamina,FlamoUprightLamina,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,50,12,1,0,,0,,163,10000,0,0,163,10000,,,,2,15,4,,1,flamecrystal_block,,,blocks.stone,blockd.stone,blockd.stone,163,2,1,,fac117,,,,,4,,2,15,15,,1,,,10,,,,,,,1,f8c100,255,0,1,,1,,,2
164,柠檬黄竖薄板,,CitrineUprightLamina,CitrineUprightLamina,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,50,12,1,2,20,2,,164,10000,0,0,164,10000,,,,2,15,0,,1,planks_arbor,,,blocks.wood,blocks.wood,blocks.wood,164,1,1,,c1a661,,,,,4,,2,15,15,,1,,,10,,,,,,,1,,255,0,1,,0.2,,,
165,苍石灰竖薄板,,CinerousUprightLamina,CinerousUprightLamina,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,35,10.5,1,0,,0,,165,10000,0,0,165,10000,,,,2,15,0,1,1,planks_leafless,,,blocks.wood,blockd.wood,blockd.wood,165,1,1,,7c6037,,,,,4,,2,15,15,,1,,,10,,,,,,,1,,255,0,1,,0.2,,,
166,深栗红竖薄板,,CrimsonUprightLamina,CrimsonUprightLamina,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,35,8,1,1,20,2,,166,10000,0,0,166,10000,,,,2,15,0,,1,planks_walnut,,,blocks.wood,blockd.wood,blockd.wood,166,1,1,,452f20,,,,,4,,2,15,15,,1,,,1,,,,,,,1,,255,0,1,,0.2,,,
167,落日橙竖薄板,,SunsetOrangeUprightLamina,SunsetOrangeUprightLamina,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,35,8,1,1,20,1,,167,10000,0,0,167,10000,,,,2,15,0,,1,planks_phoebe,,,blocks.wood,blockd.wood,blockd.wood,167,1,1,,be8254,,,,,4,,2,15,15,,1,,,1,,,,,,,1,,255,0,1,,0.2,,,
168,海棠红竖薄板,,BegoniaRedUprightLamina,BegoniaRedUprightLamina,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,35,8,1,1,20,1,,168,10000,0,0,168,10000,,,,2,15,0,,1,planks_redwood,,,blocks.wood,blockd.wood,blockd.wood,168,1,1,,644b2b,,,,,4,,2,15,15,,1,,,1,,,,,,,1,,255,0,1,,0.2,,,
169,象牙白竖薄板,,IvoryUprightLamina,IvoryUprightLamina,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,32,7,1,2,5,1,,169,10000,0,0,169,10000,,,,2,15,0,,1,planks_birch,,,blocks.wood,blockd.wood,blockd.wood,169,1,1,,dfdbc2,,,,,4,,2,15,15,,1,,,1,,,,,,,1,,255,0,1,,0.2,,,
170,秋叶橙竖薄板,,DarkOrangeUprightLamina,DarkOrangeUprightLamina,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,35,9,1,1,20,2,,170,10000,0,0,170,10000,,,,2,15,0,,1,planks_cathaya,,,blocks.wood,blockd.wood,blockd.wood,170,1,1,,865d39,,,,,4,,2,15,15,,1,,,1,,,,,,,1,,255,0,1,,0.2,,,
171,竖薄板,,UprightLamina,UprightLamina,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,25,6,1,2,20,2,,171,10000,0,0,171,10000,,,,2,15,0,,1,planks_fruittree,,,blocks.wood,blockd.wood,blockd.wood,171,1,1,,c1a661,,,,,4,,2,15,15,,1,,,1,,,,,,,1,,255,0,1,,0.2,,,
172,黄砖竖薄板,,YellowBrickUprightLamina,YellowBrickUprightLamina,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,50,12,1,0,,0,,172,10000,0,0,172,10000,,,,2,15,0,,1,sandstone,sandstone_normal,,blocks.stone,blockd.stone,blockd.stone,172,2,1,,84887e,,,,,4,,2,15,15,,1,,,10,,,,,,,1,,255,0,1,,0.2,,,
173,锰块竖薄板,,MnBlockUprightLamina,MnBlockUprightLamina,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,50,40,1,0,,0,,173,10000,0,0,173,10000,,,,1,15,0,,1,manganese_block,,,blocks.stone,blockd.stone,blockd.stone,173,2,1,,A58F78,,,,,4,,2,15,15,,1,,,10,,,,,,,1,,255,0,1,,0.2,26,,
174,浅苍灰竖薄板,,HoaryUprightLamina,HoaryUprightLamina,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,25,6,1,2,100,2,,174,10000,0,0,174,10000,,,,2,15,0,,1,planks_coconut,,,blocks.wood,blockd.wood,blockd.wood,174,1,1,,7c6037,,,,,4,,2,15,15,,1,,,1,,,,,,,1,,255,0,1,,0.2,,,
175,铝矿,,AluminiumOre,AluminiumOre,,,minestonediffmtl,1,3,3,,,,1,1,1,0,0,0,,,,1,50,20,1,0,,0,,175,10000,0,0,175,0,,,,1,15,0,1,1,aluminum,aluminum,,blocks.stone,blockd.stone,,175,2,3,,6c4729,,,,,,,1,15,15,,6,,,15,4,,,,,block_knock_line,0,,255,0,1,,8,,1,2
176,锂矿,,LithiumOre,LithiumOre,,,minestone,1,3,3,,,,1,1,1,0,0,0,,,,1,50,25,1,0,,0,,176,10000,0,0,176,0,,,,1,15,0,1,1,lithium,lithium1,,blocks.stone,blockd.stone,,176,2,3,,6c4729,,,,,,,1,15,15,,6,,,15,4,,,,,block_knock_line,0,,255,0,1,,16,,1,2
177,钴矿,,CobaltOre,CobaltOre,,,minestone,1,3,3,,,,1,1,1,0,0,0,,,,1,50,40,1,0,,0,,177,10000,0,0,177,0,,,,1,15,0,1,1,cobalt,cobalt1,,blocks.stone,blockd.stone,,177,2,5,,6c4729,,,,,,,1,15,15,,6,,,15,4,,,,,block_knock_line,0,,255,0,1,,16,,1,2
178,铝块,,AluminumBlock,AluminumBlock,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,1,200,20,1,0,,0,,178,10000,0,0,178,10000,,,,1,15,0,1,1,aluminium_block,,,blocks.stone,blockd.stone,,178,2,1,,1e1c1c,,,,,,,1,15,15,,1,,,20,,,,,,,0,,255,0,1,,48,26,1,
179,锂块,,LithiumBlock,LithiumBlock,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,1,200,25,1,0,,0,,179,10000,0,0,179,10000,,,,1,15,0,1,1,lithium_block,,,blocks.stone,blockd.stone,,179,2,1,,1e1c1c,,,,,,,1,15,15,,1,,,20,,,,,,,0,,255,0,1,,96,,1,
180,钴块,,CobaltBlock,CobaltBlock,,,giantstone,1,4,4,,,,1,1,1,0,0,0,,,,1,200,40,1,0,,0,,180,10000,0,0,180,10000,,,,1,15,0,1,1,cobalt_block,,,blocks.stone,blockd.stone,,180,2,1,,1e1c1c,,,,,,,1,15,15,,1,,,20,,,,,,,0,,255,0,1,,96,26,1,
