id,中文名称【所有用到道具名称的地方都是读这里】,预制文件名,插件用【作为插件json文件的名称，不能有空格】,2.0创造背包开放，11=地形，12=植物，13=建筑，14=装饰，15=星能，16=颜色，17=功能，18=机械，21=动物，22=怪物，23=人物（NPC），24=载具，31=装备，32=功能，33=食物，34=材料，35武器，36工具，41=功能，42=创造，43=功能对象,插件编辑【大于0开放插件编辑，1=工具，2=武器，3=食物，4=装备，5=材料】,2.0插件编辑模板【0=不是模板，1=作为插件编辑模板】,作为插件编辑材料，如道具掉落等【0=不作为材料，1=作物分类，2=工具，3=杂物，4=方块】,开放到触发器选择的道具库【1-5方块类 6-10道具类 12投掷物类 1=植物方块 2=液体方块 3=自然方块 4=装饰方块 5=功能方块 6=消耗品 7=材料 8=武器 9=装备 10=工具 11=生物蛋 12=投掷物 13=乐器】,模型文件夹名字【用于手持模型和凋落物模型，位于res/itemmods】,贴图【模型的贴图文件，已弃用】,贴图id【一个模型可以使用不同的贴图，改变外观；仅用于手持模型名字为texturen】,海外开放（0和空为在国内海外都开放，1为只在国内开放，2为只在海外开放）,"品质等级【用于旧版家园开果实的奖励级别，0一级,1二级,2三级,3四级】","帐号道具类型【0普通功能，1碎片，2仅普通地图提取，3仅家园提取，4都可提取,5可选择，6抽奖礼包，7商业化道具，8宠物蛋】",1-皮肤，2-坐骑，3-avatar，4-皮肤碎片，5-坐骑碎片，6-武器皮肤道具，7-武器皮肤碎片，8-头像框，9-喷漆道具，10-喷漆道具碎片，11-气泡道具，12-播报道具，13-称号道具，14-迷你大会员，15-优惠券，16-头像，17-动作，18-心情框，19-背景，20称号，21表情包，22迷你赛季积分道具，23坐骑升级道具，24搭配赛抽奖券，26七彩碎片，29图鉴道具,皮肤/坐骑/avatarID/武器皮肤,"品质等级（1=浅灰色,2=绿色，3=蓝色，4=紫色，5=橙色，6=红色，7=白金）",0-普通，1-稀有，2-珍贵，3-传说，抽奖礼包暂用:4-永久，5-体验,关联物品ID【用于家园图鉴碎片配置对应解锁的道具，解锁类型是4时填10000】,家园图鉴解锁的货币类型【0不用解锁3碎片4迷你豆5混合】,家园图鉴解锁标志位【每个道具对应一个标志位】,替换解锁物品【家园图鉴解锁货币不足时用什么代替，解锁类型是4的时候这里填服务器那个ID】,碎片价格【跟替换解锁物品配套使用，替换物数】,家园图鉴解锁需要的碎片数量,"条件解锁类型【用来控制打完黑龙解锁的配方,1=一阶黑龙,2=二阶黑龙,3=三阶黑龙,4=科技树，-1=解锁配方才能用的道具】",背包筛选类型【冒险模式背包的筛选类型，1装备2工具3方块4材料】,"道具类型【会影响道具的功能，无0，方块1，杂物2，工具3，一组物品4，怪物5，帐号物品6，弓7，投掷8，装备9，枪械10，食物11，12工具+投掷物，13工具+食物，14方块+食物，16机械，17地图通行证，18乐器，19喷漆贴图，20气泡，21武器皮肤，22播报，23称号，24特长碎片,25头像，26动作，27心情框，28背景，31可孵化蛋，32方块+预制蓝图】","创造模式背包一级分类【0不显示,1作物2工具3杂物4方块5编辑】",创造模式背包二级分类【植物=11 食物=12 饲料=13 特殊作物=14 道具=21 电路=22 生物=23 装备=24 建材=[31] 家具=32 装饰物=33 特殊杂物=34 地形=41 资源=42 特殊方块=43 建筑=44 玩法=51】,排序【创造模式背包同分类下调整排序用，数字小的在前面，数字相同id小的在前面】,高级创造排序【高级创造背包/高级资源列表/资源库，同分类下调整排序用，数字小的在前面，数字相同id小的在前面】,类型描述,新道具提示版本号【填了之后，玩家第一次看到时会显示新字，取第二位】,描述中的解锁途径-String表ID,类型描述-String表ID,描述【所有道具tips等用到道具描述的地方，都是读的这里】,获取方式(工匠台和冶炼台的内容可读取并显示在tips上，无需写在这里了),图标【所有显示道具图标的地方都是读的这里，默认文件路径是env1/bin/res/items；方块类道具不填则使用自动生成的图标；#=使用角色头像，hf=使用头像框图标，#avatar_icon1000_=使用avatar图标，[=使用方块贴图】,是否显示模型【控制拿在手上是否显示模型，0显示图标，1显示工具模型toolmodel，2显示方块模型有模型优先调用模型没有就程序生成blockmodel，9显示新prefab模型（prefab道具手持），10prefab方块手持】,图标特效/填1带有特效,挥舞音效,挥舞用的图片,第一人称大小,第三人称大小,掉落物大小,挥舞周期（毫秒）,冒险背包最大堆叠数目/做了防作弊的处理，获得超过这个数量会宕机,是否可以右键使用,右键使用操作范围(1/100方块）,归属物品组【同一物品组，在作为制作或者修理素材时会视为同一物品】,"使用目标:0-放置或者不能用, 1-点击方块, 2-点击液体方块  3-点使用按钮,  4-使用弓, 5-使用食物，6-使用特技，7-仓库中使用，8-使用枪, 9-蓄力扔出，烟雾弹，手雷等,10-钩爪, 11-“微缩组合”道具，12-乐器，14-使用盾牌，15-使用timeline蓄力投出）",使用的脚本,使用的脚本2（同时使用两个脚本时填写）,发射器发射物品的脚本,附魔标记（1放上面 2放下面 3前两者都可以 0前两者都不可以）,材料级别（0木1皮2石3链4铁5钛合金6钻，6代表5条附魔 5代表3条附魔 4代表1条附魔）,附魔后道具ID,是否可以提取(0不能 1能 2只有房主),分数,冷却,道具功能,消耗饥饿度,手持特效,手持特效放大系数,UGC工具屏蔽（填0或空不屏蔽脚本调用，作者解锁了就能用。填1屏蔽脚本调用。填2屏蔽脚本、选择器调用，作者解锁也不能用）,给道具添加技能（可以添加多个，用 | 隔开）,3.0高级创造背包开放，11=地形，12=植物，13=建筑，14=装饰，15=星能，16=颜色，17=功能，18=机械，21=动物，22=怪物，23=人物（NPC），24=载具，31=装备，32=功能，33=食物，34=材料，35武器，36工具，41=功能，42=创造，43=功能对象 999=不展示并屏蔽使用功能,显示模型特效（prefab模型使用，0或不填=不显示，1=显示）,显示第一人称手模型(1=显示，0=不显示),新输入方式标识（0或不填为老单击、长按判断，1为新单击长按判断）,标签,豪华值
112,黑晶石,,BlackCrystal,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,测试,,,100018,受到虚空幻影的影响，地质结构剧烈变化，该矿石已不复存在,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
113,脆冰,,FloatingIce,,,,,,,,,,,,,,,-1,,,,,,,,3,1,0,,,,测试,,,,水上的脆冰，敲碎后化作星星点点消散天地之间,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
114,淤泥,,Silt,11,,,4,3,,,,,,,,,,-1,,,,,,,,3,1,0,[41],0,230,测试,,,100016,水底的土块，铲类工具可以快速开采,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
115,松软的雪,,Snow,11,,,4,3,,,,,,,,,,-1,,,,,,,4,3,1,4,[41],0,350,测试,28,,100011,四分之一格高的软雪薄板，可堆叠改变厚度,,,2,,,,,,,200,64,0,5,,1,Snow_OnUse,,,,,,,,,,,,,,,11,,,,,
116,萌眼星石块,,HorasRock,11,,,4,3,,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,260,测试,,,100016,萌眼星的特殊石块，抗爆炸能力强，要用@item_11013#或更高级镐类工具开采,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
117,萌眼星草块,,Horasgrass,11,,,4,3,,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,20,测试,,,100016,萌眼星的草块，含有植物生长的必要养分。要用@item_11023#或更高级铲类工具开采,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
118,萌眼星云团,,Horascloud,11,,,4,3,,,,,,,,,,-1,,,,,,,,3,1,4,[43],0,550,测试,,,100018,萌眼星空岛周边的云块，踩上去就会开始破碎,,,2,,,,,,,200,64,0,5,632,,,,,,,,,,,,,,,,,11,,,,,
119,旱土,,Drysoil,11,,,4,3,,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,10,测试,,,100016,在萌眼星，迷拉星的@item_100#需要放在@item_1050#上才能保持养分，否则就会失去养分成为旱土,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
120,冻土,,FreezeSoil,11,,,4,3,,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,10,测试,28,,100016,在低温环境下，@item_100#和@item_101#会转化为@item_120#。喜欢寒冷的植物需要长在此类土壤之上。,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
121,冻土坑,,FreezePit,,,,4,3,,,,,,,,,,-1,,,,,,,,3,1,,,0,,测试,28,,,可种植喜好寒冷的花种子、树苗,使用铲子开垦@item_120#获得,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
122,厚实的雪,,SnowBlock,11,,,4,3,,,,,,,,,,-1,,,,,,,4,3,1,4,[41],0,350,测试,28,,100016,厚实的雪，遇到高热的#c0aba1d岩浆#n或在高温环境下会融化成水，会使#c0aba1d周围温度稍微降低#n,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
123,自然冰,,Ice,11,,,4,3,,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,350,测试,28,,100016,常见于寒冷冰雪地带，镐类工具可快速开采，碰到#c0aba1d高温环境#n会融化成水，会使#c0aba1d周围温度稍微降低#n,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
124,硫黄岩,,SulphurRock,11,,,4,3,,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,250,测试,,,100016,烈焰星常见的岩石，可用于合成@item_11627#，用镐类工具可快速开采。,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
125,灼沙,,HotSand,11,,,4,3,,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,120,测试,,,100016,散发着灼热气息的黄沙，用铲类工具可快速开采,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
126,魔古岩,,MagicRock,11,,,4,3,,,,,,,,,,-1,,,,,,,,3,1,4,[41],10,270,测试,,,100016,星尘之境常见的岩石，用镐类工具可快速开采。,,,2,,,,,,,200,64,0,5,,1,,,,,,,,,,,,,,,,11,,,,,
127,泡沫块,,Sponge,13,,,4,4,,,,,,,,,,-1,,,,,,,,3,1,4,[43],0,450,测试,,,100018,具有装饰作用的方块,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,13,,,,,
128,红沙,,Redsand,11,,,4,3,,,,,,,,,,-1,,,,,,,,3,1,4,[43],0,120,测试,,,,罕见的红色沙堆，含有丰富的矿物元素,在红土岛屿和珊瑚岛屿中时有发现,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
129,厚实的雪,,ThickSnow,,,,,,,,,,,,,,,-1,,,,,,,,3,1,0,,,,测试,,,,,,,2,,,,,,,200,64,0,5,,1,,,,,,,,,,,,,,,,,,,,,
130,厚实的雪堆,,ThickSnowBlock,,,,,,,,,,,,,,,-1,,,,,,,,3,1,0,,,,测试,,,,想一起堆个雪人，或者来打雪仗,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
131,坚固的冰,,HardIce,,,,,,,,,,,,,,,-1,,,,,,,,3,1,0,,,,测试,,,,超级坚硬的冰，无法被撼动,,,2,,dig.stone,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
132,硫黄晶砂,,SulfurCrystalSand,11,,,4,4,,,,,,,,,,-1,,,,,,,,3,1,4,[43],0,250,测试,,,100018,出现在烈焰星的岩浆中，只能用@item_11025#开采，是制作@item_11219#、@item_11220#的材料之一，被流体遮挡时会喷发#r#c0aba1d生命可贵，请勿模仿任何游戏内的行为#n,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
133,空的蜂巢,,EmptyHoneycomb,12,,,4,4,,,,,,,,,,-1,,,,,,,4,3,1,4,[43],0,740,测试,,,100018,现在还没有蜂蜜入住，放到@item_255#下可以积蓄蜂蜜,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,12,,,,,
134,满的蜂巢,,FullHoneycomb,12,,,4,4,,,,,,,,,,-1,,,,,,,,3,1,4,[43],0,740,测试,,,100018,装满蜂蜜的蜂巢，小心蜜蜂！对其使用@item_11320#可获得@item_12511#,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,12,,,,,
135,神秘图腾-大地,,Horastotem-Earth,14,,,3,4,,,,,,,,,,-1,,,,,,,,3,1,3,[34],3,250,测试,,,100019,古文明中具有重要意义的石像，如今仅有装饰作用,萌眼星古代文明遗迹中收集,,2,,,,,,,200,64,0,5,,1,TotemGarnish_OnUse,,,,,,,,,,,,,,,14,,,,,
136,神秘图腾-天空,,Horastotem-Sky,14,,,3,4,,,,,,,,,,-1,,,,,,,,3,1,3,[34],3,250,测试,,,100019,古文明中具有重要意义的石像，如今仅有装饰作用,萌眼星古代文明遗迹中收集,,2,,,,,,,200,64,0,5,,1,TotemGarnish_OnUse,,,,,,,,,,,,,,,14,,,,,
137,萌眼星土坑,,Horaspit,11,,,4,4,,,,,,,,,,-1,,,,,,,,3,1,0,,0,20,测试,,,,可种植珍木,使用铲子开垦@item_117#获得,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
138,污染方块,,ToxicBlock,,,,,4,,,,,,,,,,-1,,,,,,,,,0,0,,,,测试,,,,,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
139,BOSS战使用方块,,BossFightUtilityBlock,,,,,,,,,,,,,,,-1,,,,,,,,,0,0,,,,测试,,,,,,,2,,,,,,,200,64,0,5,,1,TotemGarnish_OnUse,,,,,,,,,,,,,,,,,,,,
140,生命石座,,LifeStone,17,,,3,4,,,,,,,,,,-1,,,,,,,,3,1,0,,0,1040,测试,0,,,“昔日者”文明留下的石座，联系着迷拉星的生命力量,,icon140,0,,,,0.6,0.6,,200,1,0,5,,,,,,,,,,,,,,,,,,17,,,,,
141,勇气石座,,CourageStone,17,,,3,4,,,,,,,,,,-1,,,,,,,,3,1,0,,0,1040,测试,0,,,“昔日者”文明留下的石座，联系着烈焰星的勇气力量,,icon141,0,,,,0.6,0.6,,200,1,0,5,,,,,,,,,,,,,,,,,,17,,,,,
142,智慧石座,,WisdomStone,17,,,3,4,,,,,,,,,,-1,,,,,,,,3,1,0,,0,1040,测试,0,,,“昔日者”文明留下的石座，联系着萌眼星的智慧力量,,icon142,0,,,,0.6,0.6,,200,1,0,5,,,,,,,,,,,,,,,,,,17,,,,,
143,破损的石座,,BrokenAltar,17,,,3,4,,,,,,,,,,-1,,,,,,,,3,1,3,[34],3,1040,测试,0,,,古代石座，被挖掘后已无法恢复原状,,icon143,0,,,,0.6,0.6,,200,1,0,5,,,,,,,,,,,,,,,,,,17,,,,,
144,红薇蝶玻璃瓶,,CrimsonButterflyBottle,14,,,3,4,,,,,,,,,,-1,,,,,,,,3,1,3,[33],0,850,测试,0,,100014,放置后可照亮周围小片区域,在空岛地形用@item_11320#捕捉蝴蝶获得,icon144,2,,,,1.5,1.5,1.5,200,64,0,5,,,,,,,,,,,,,,,,,,14,,,,,
145,兰青蝶玻璃瓶,,CyanButterflyBottle,14,,,3,4,,,,,,,,,,-1,,,,,,,,3,1,3,[33],0,850,测试,0,,100014,放置后可照亮周围小片区域,在空岛地形用@item_11320#捕捉蝴蝶获得,icon145,2,,,,1.5,1.5,1.5,200,64,0,5,,,,,,,,,,,,,,,,,,14,,,,,
146,香粉蝶玻璃瓶,,FragrantButterflyBottle,14,,,3,4,,,,,,,,,,-1,,,,,,,,3,1,3,[33],0,850,测试,0,,100014,放置后可照亮周围小片区域,在空岛地形用@item_11320#捕捉蝴蝶获得,icon146,2,,,,1.5,1.5,1.5,200,64,0,5,,,,,,,,,,,,,,,,,,14,,,,,
147,白香蝶玻璃瓶,,SunButterflyBottle,14,,,3,4,,,,,,,,,,-1,,,,,,,,3,1,3,[33],0,850,测试,0,,100014,放置后可照亮周围小片区域,在空岛地形用@item_11320#捕捉蝴蝶获得,icon147,2,,,,1.5,1.5,1.5,200,64,0,5,,,,,,,,,,,,,,,,,,14,,,,,
148,龙信蝶玻璃瓶,,DragonkinButterflyBottle,14,,,3,4,,,,,,,,,,-1,,,,,,,,3,1,3,[33],0,850,测试,0,,100014,放置后可照亮周围小片区域,在空岛地形用@item_11320#捕捉蝴蝶获得,icon148,2,,,,1.5,1.5,1.5,200,64,0,5,,,,,,,,,,,,,,,,,,14,,,,,
149,舌钟蝶玻璃瓶,,ShezhongButterflyBottle,14,,,3,4,,,,,,,,,,-1,,,,,,,,3,1,3,[33],0,850,测试,0,,100014,放置后可照亮周围小片区域,在空岛地形用@item_11320#捕捉蝴蝶获得,icon149,2,,,,1.5,1.5,1.5,200,64,0,5,,,,,,,,,,,,,,,,,,14,,,,,
150,红土耕地,,RedFarmland,11,,,,3,,,,,,,,,,-1,,,,,,,,3,1,0,,,50,测试,,,,可种植适应特殊的作物，必须靠近水或用花洒灌溉才能保持湿润,使用耙开垦@item_233#获得,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
151,红土土坑,,RedBuryland,11,,,,3,,,,,,,,,,-1,,,,,,,,3,1,0,,,50,测试,,,,可种植特殊的植物，必须靠近水或用花洒灌溉才能保持湿润,使用铲子开垦@item_233#获得,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
152,星球岩竖薄板,,,13,,,4,4,,,,,,,,,,-1,,,,,,,4,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄石板，可堆叠改变厚度,,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,13,,,,,
153,竹板竖薄板,,,13,,,4,4,,,,,,,,,,-1,,,,,,,4,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄木板，可堆叠改变厚度,,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,13,,,,,
154,胭脂红竖薄板,,,13,,,4,4,,,,,,,,,,-1,,,,,,,4,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄木板，可堆叠改变厚度,,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,13,,,,,
155,水泥砖竖薄板,,,13,,,4,4,,,,,,,,,,-1,,,,,,,4,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄石板，可堆叠改变厚度,,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,13,,,,,
156,硫黄砖竖薄板,,,13,,,4,4,,,,,,,,,,-1,,,,,,,4,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄石板，可堆叠改变厚度,,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,13,,,,,
157,石质竖薄板,,,13,,,4,4,,,,,,,,,,-1,,,,,,,4,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄石板，可堆叠改变厚度,,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,13,,,,,
158,精制石竖薄板,,,13,,,4,4,,,,,,,,,,-1,,,,,,,4,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄石板，可堆叠改变厚度,,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,13,,,,,
159,钛合金竖薄板,,,13,,,4,4,,,,,,,,,,-1,,,,,,,4,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄金属板，可堆叠改变厚度,,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,13,,,,,
160,黄铜竖薄板,,,13,,,4,4,,,,,,,,,,-1,,,,,,,4,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄金属板，可堆叠改变厚度,,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,13,,,,,
161,云母竖薄板,,,13,,,4,4,,,,,,,,,,-1,,,,,,,4,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄金属板，可堆叠改变厚度,,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,13,,,,,
162,铁制竖薄板,,,13,,,4,4,,,,,,,,,,-1,,,,,,,4,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄金属板，可堆叠改变厚度,,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,13,,,,,
163,炽炎竖薄板,,,13,,,4,4,,,,,,,,,,-1,,,,,,,4,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄金属板，可堆叠改变厚度,,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,13,,,,,
164,柠檬黄竖薄板,,,13,,,4,4,,,,,,,,,,-1,,,,,,,4,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄木板，可堆叠改变厚度,,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,13,,,,,
165,苍石灰竖薄板,,,13,,,4,4,,,,,,,,,,-1,,,,,,,4,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄木板，可堆叠改变厚度,,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,13,,,,,
166,深栗红竖薄板,,,13,,,4,4,,,,,,,,,,-1,,,,,,,4,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄木板，可堆叠改变厚度,,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,13,,,,,
167,落日橙竖薄板,,,13,,,4,4,,,,,,,,,,-1,,,,,,,4,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄木板，可堆叠改变厚度,,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,13,,,,,
168,海棠红竖薄板,,,13,,,4,4,,,,,,,,,,-1,,,,,,,4,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄木板，可堆叠改变厚度,,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,13,,,,,
169,象牙白竖薄板,,,13,,,4,4,,,,,,,,,,-1,,,,,,,4,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄木板，可堆叠改变厚度,,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,13,,,,,
170,秋叶橙竖薄板,,,13,,,4,4,,,,,,,,,,-1,,,,,,,4,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄木板，可堆叠改变厚度,,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,13,,,,,
171,竖薄板,,,13,,,4,4,,,,,,,,,,-1,,,,,,,4,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄木板，可堆叠改变厚度,,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,13,,,,,
172,黄砖竖薄板,,,13,,,4,4,,,,,,,,,,-1,,,,,,,4,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄石板，可堆叠改变厚度,,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,13,,,,,
173,锰块竖薄板,,,13,,,4,4,,,,,,,,,,-1,,,,,,,4,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄金属板，可堆叠改变厚度,,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,13,,,,,
174,浅苍灰竖薄板,,,13,,,4,4,,,,,,,,,,-1,,,,,,,4,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄木板，可堆叠改变厚度,,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,13,,,,,
175,铝矿,,,11,,,4,3,,,,,,,,,,-1,,,,,,,,3,1,4,[42],0,650,测试,,,100010,在冶炼台中可以烧炼出@item_12758##r使用@item_11013#或更高级镐开采,稀有矿石，可能出现在#c0aba1d迷拉星、烈焰星和萌眼星较深处#n,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
176,锂矿,,,,,,,,,,,,,,,,,-1,,,,,,,,3,1,,,,,测试,,,100010,在冶炼台中可以烧炼出@item_12760##r使用@item_11013#或更高级镐开采,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
177,钴矿,,,11,,,4,3,,,,,,,,,,-1,,,,,,,,3,1,4,[42],0,650,测试,,,100010,在冶炼台中可以烧炼出@item_12759##r使用@item_11014#或更高级镐开采,超稀有矿石，可能出现在#c0aba1d烈焰星深处#n,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,11,,,,,
178,铝块,,,13,,,4,4,,,,,,,,,,-1,,,,,,,4,3,1,4,[42],0,250,测试,,,100010,大量@item_12758#制作而成,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,13,,,,,
179,锂块,,,,,,,,,,,,,,,,,-1,,,,,,,4,3,1,,,,,测试,,,100010,大量@item_12760#制作而成,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
180,钴块,,,13,,,4,4,,,,,,,,,,-1,,,,,,,4,3,1,4,[42],0,250,测试,,,100010,大量@item_12759#制作而成,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,13,,,,,
181,钢桁架,,,13,,,4,4,,,,,,,,,,-1,,,,,,,4,3,1,4,[44],0,150,测试,,,100011,用于搭配机械风格物件的建筑方块，可以延长拼接,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,13,,,,,
182,凝能晶小火炬,,CrystalTorch,,,,,,182,,,,,,,,,-1,,,,,,,4,2,1,,,,,测试,,,100001,放置后可持续燃烧并照亮周围,,icon182,10,,,,0.8,0.8,,200,64,0,5,,,,,,,,,,,,,,,,2,,,,,,,
200,樱桃木,,CherryWood,12,,,4,1,,,,,,2,,,,-1,,,,,,,,3,1,4,[42],0,40,测试,,,100010,樱桃树干，可用于装饰，也可以作为燃料,在斧类工具上镶嵌#c0aba1d完整获取#n符文后砍伐获得,,2,,,,,,,200,64,0,5,200,,,,,,,,1,,,,,,,,,12,,,,official_NaturalType.Trees,
201,落叶松木,,Larch,12,,,4,1,,,,,,,,,,-1,,,,,,,,3,1,4,[42],0,40,测试,,,100010,落叶松树干，可用于装饰，也可以作为燃料,在斧类工具上镶嵌#c0aba1d完整获取#n符文后砍伐获得,,2,,,,,,,200,64,0,5,200,,,,,,,,,,,,,,,,,12,,,,official_NaturalType.Trees,
202,白杨木,,Poplarwood,12,,,4,1,,,,,,,,,,-1,,,,,,,,3,1,4,[42],0,40,测试,,,100010,白杨树干，可用于装饰，也可以作为燃料,在斧类工具上镶嵌#c0aba1d完整获取#n符文后砍伐获得,,2,,,,,,,200,64,0,5,200,,,,,,,,,,,,,,,,,12,,,,official_NaturalType.Trees,
203,红杉木,,Redwood,12,,,4,1,,,,,,,,,,-1,,,,,,,,3,1,4,[42],0,40,测试,,,100010,红杉树干，可用于装饰，也可以作为燃料,在斧类工具上镶嵌#c0aba1d完整获取#n符文后砍伐获得,,2,,,,,,,200,64,0,5,200,,,,,,,,,,,,,,,,,12,,,,official_NaturalType.Trees,
204,楠木,,PhoebeWood,,,,,,,,,,,,,,,-1,,,,,,,,3,1,,,,,测试,,,100010,楠木树干，可用于装饰，也可以作为燃料,在斧类工具上镶嵌#c0aba1d完整获取#n符文后砍伐获得,,2,,,,,,,200,64,0,5,200,,,,,,,,,,,,,,,,,,,,,official_NaturalType.Trees,
